11:47:03,316 INFO  [log] Logging initialized @311ms
11:47:03,630 INFO  [Server] jetty-9.2.3.v20140905
11:47:03,766 INFO  [StandardDescriptorProcessor] NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
11:47:03,813 INFO  [/] Initializing Spring FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-7cf10a6f'
11:47:03,813 INFO  [DispatcherServlet] FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-7cf10a6f': initialization started
11:47:03,856 INFO  [XmlWebApplicationContext] Refreshing WebApplicationContext for namespace 'org.springframework.web.servlet.DispatcherServlet-7cf10a6f-servlet': startup date [Sat Feb 28 11:47:03 CST 2015]; root of context hierarchy
11:47:03,902 INFO  [XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [beans/armada-config.xml]
11:47:04,235 INFO  [XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [beans/armada-dao.xml]
11:47:04,342 INFO  [XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [beans/armada-datasource.xml]
11:47:04,394 INFO  [XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [beans/armada-service.xml]
11:47:04,450 INFO  [XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [beans/armada-servlet.xml]
11:47:04,766 INFO  [DefaultListableBeanFactory] Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@2805c96b: defining beans [containerRestfulController,logRestfulController,preferenceRestfulController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,containerLogDao,containerDao,preferenceDao,armadaDataSource,armadaTransactionManager,armadaSessionFactory,armadaService,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter#0,httpArmadaService,urlMapping]; root of factory hierarchy
11:47:04,882 INFO  [MLog] MLog clients using log4j logging.
11:47:05,055 INFO  [C3P0Registry] Initializing c3p0-0.9.1 [built 16-January-2007 14:46:42; debug? true; trace: 10]
11:47:05,376 INFO  [Version] Hibernate Commons Annotations 3.2.0.Final
11:47:05,384 INFO  [Environment] Hibernate 3.6.9.Final
11:47:05,386 INFO  [Environment] hibernate.properties not found
11:47:05,391 INFO  [Environment] Bytecode provider name : javassist
11:47:05,396 INFO  [Environment] using JDK 1.4 java.sql.Timestamp handling
11:47:05,516 WARN  [DTDEntityResolver] recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
11:47:05,585 WARN  [DTDEntityResolver] recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
11:47:05,635 WARN  [DTDEntityResolver] recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
11:47:05,715 INFO  [HbmBinder] Mapping class: edu.depaul.armada.domain.Container -> container
11:47:05,735 INFO  [HbmBinder] Mapping class: edu.depaul.armada.domain.ContainerLog -> container_log
11:47:05,741 INFO  [HbmBinder] Mapping class: edu.depaul.armada.domain.Preference -> preferences
11:47:05,744 INFO  [HbmBinder] Mapping collection: edu.depaul.armada.domain.Container.logs -> container_log
11:47:05,751 INFO  [Configuration] Hibernate Validator not found: ignoring
11:47:05,755 INFO  [LocalSessionFactoryBean] Building new Hibernate SessionFactory
11:47:05,760 INFO  [HibernateSearchEventListenerRegister] Unable to find org.hibernate.search.event.FullTextIndexEventListener on the classpath. Hibernate Search is not enabled.
11:47:05,767 INFO  [ConnectionProviderFactory] Initializing connection provider: org.springframework.orm.hibernate3.LocalDataSourceConnectionProvider
